Date,Type1,Type2,Analyzer1,Analyzer2,Flow,Stage2_3,Stage3_1,Stage3_2,Stage3_3,Stage4_1,Stage4_2,Stage4_3,Stage4_4,Stage4_5,Stage3_4,Stage4_6,Stage1_1,Stage2_1,Stage3_5,Stage3_6,Stage4_7,Stage4_8,Stage2_2,Stage1_2,Stage3_9,Stage3_7,Stage3_8,Stage4_9
2000.5.1 23:50,1,,4.231607246,-15.20733333,127.3438333,98.9735,2099.646667,1.27567,1.597541667,64.4277,55.9887,1800.373333,118.886,2.20786,5.500635,59.54091667,320.1773333,221.654,231.9928333,246.749,164.447,270.8633333,217.0835,311.7013333,233.3848333,160.2448333,290.0415,64.8309
2000.5.2 0:00,1,,4.228869544,-15.20918333,127.1745,98.97158333,2099.55,1.29976,1.64384,64.11021667,56.02886667,1799.988333,118.3998333,3.14528,5.498815,59.55191667,320.1866667,221.6636667,231.9926667,246.7655,164.5303333,270.928,217.0725,311.7246667,233.3391667,160.1813333,290.0065,64.7851
2000.5.2 0:10,1,,4.235085611,-15.20548333,127.338,99.01423333,2099.716667,1.233703333,1.705341667,63.68838333,55.988,1800.023333,118.618,3.244515,5.499745,59.66793333,320.2091667,221.6728333,232.0093333,246.782,164.722,270.9606667,217.0825,311.653,233.4971667,159.6676667,290.0163333,64.81065
2000.5.2 0:20,1,,4.241334442,-15.24496667,127.1725,99.07281667,2099.088333,1.265443333,1.6578,63.95848333,55.95526667,1799.961667,118.4036667,3.809696667,5.500375,59.58711667,320.2136667,221.6815,232.1083333,246.8066667,164.797,270.7576667,217.055,311.6963333,233.5006667,159.975,290.0468333,64.44296667
2000.5.2 0:30,1,,4.238960709,-15.26033333,127.2975,99.07528333,2100.12,1.249321667,1.619911667,63.74171667,55.95873333,1800.083333,118.2546667,3.976075,5.50056,59.6475,320.2326667,221.6936667,232.1001667,246.7985,164.8386667,270.7981667,217.0688333,311.723,233.4505,159.9948333,289.8758333,64.47863333
2000.5.2 0:40,1,,4.233396105,-15.21028333,127.1466667,99.037,2099.838333,1.289911667,1.608616667,63.91325,55.99686667,1800.455,118.9301667,3.211715,5.50056,59.48281667,320.2348333,221.7095,232.1576667,246.8146667,164.9386667,270.8063333,217.0698333,311.663,233.4628333,160.2285,290.0215,65.06168333
2000.5.2 0:50,1,,4.23196816,-15.26051667,127.3025,99.00223333,2100.463333,1.273385,1.688903333,63.87041667,55.95148333,1799.035,118.4505,3.093875,5.499928333,59.51163333,320.234,221.7398333,232.1001667,246.8313333,164.9303333,270.8876667,217.0805,311.703,233.4651667,159.9883333,289.9806667,64.52391667
2000.5.2 1:00,1,,4.230187314,-15.36763333,127.3436667,99.01605,2100.786667,1.230025,1.719908333,63.48395,56.00066667,1799.736667,118.0838333,3.742361667,5.500598333,59.47981667,320.235,221.7335,232.0753333,246.782,165.0886667,270.8061667,217.094,311.708,233.4206667,159.6161667,290.0891667,64.83095
2000.5.2 1:10,1,,4.237838289,-15.33686667,127.3856667,99.0929,2099.878333,1.224303333,1.675355,63.57123333,55.98161667,1799.176667,118.363,3.562551667,5.499446667,59.41538333,320.2461667,221.7536667,232.0835,246.6998333,165.1553333,270.5951667,217.0941667,311.753,233.3456667,159.9391667,289.9083333,64.63018333
2000.5.2 1:20,1,,4.23731919,-15.32371667,126.7105,99.05125,2100.188333,1.194781667,1.656073333,63.62071667,56.01643333,1799.998333,118.777,3.963238333,5.499891667,59.57403333,320.235,221.7593333,232.034,246.6181667,165.2053333,270.7493333,217.076,311.613,233.3436667,159.7615,289.9485,64.56768333
2000.5.2 1:30,1,,4.231442269,-15.35798333,126.3351667,98.9857,2099.783333,1.265681667,1.670021667,63.6827,56.02401667,1800.683333,118.2236667,3.145351667,5.500078333,59.25355,320.2483333,221.7585,232.0505,246.6753333,165.4053333,270.8633333,217.0826667,311.738,233.2868333,160.1655,290.0323333,65.09531667
2000.5.2 1:40,1,,4.231372106,-15.36615,126.7583333,99.00646667,2101.115,1.247521667,1.690193333,63.652,56.0313,1800.086667,117.7721667,2.690748333,5.50041,59.41411667,320.2385,221.759,232.0091667,246.6508333,165.397,270.79,217.0671667,311.588,233.3713333,159.338,289.8825,64.8181
2000.5.2 1:50,1,,4.232200545,-15.47956667,126.9305,99.01408333,2100.848333,1.22616,1.664946667,63.5428,55.96221667,1799.878333,117.8591667,2.71844,5.498481667,59.35258333,320.1061667,221.7421667,232.0423333,246.618,165.522,270.8061667,217.017,311.5546667,233.3256667,160.1878333,290.0696667,64.89175
2000.5.2 2:00,1,,4.231721457,-15.47566667,126.1916667,99.02013333,2100.001667,1.26722,1.638575,63.19746667,55.9902,1800.933333,117.7458333,3.170228333,5.500411667,59.30553333,319.8281667,221.727,231.9763333,246.6018333,165.5803333,270.8711667,216.9696667,311.648,233.2058333,160.04,289.8225,64.80593333
2000.5.2 2:10,1,,4.232742969,-15.48161667,126.6385,98.98425,2100.376667,1.244551667,1.669823333,63.53263333,55.97851667,1798.803333,119.7833333,3.081573333,5.500411667,59.65455,319.4893333,221.6895,231.9433333,246.7903333,165.7136667,270.9036667,216.9303333,311.788,233.3936667,159.9013333,289.8843333,64.61826667
2000.5.2 2:20,1,,4.237505232,-15.47643333,126.7361667,99.02671667,2099.291667,1.234918333,1.679095,63.23728333,56.02688333,1800.435,119.476,2.842686667,5.500151667,59.51753333,319.1578333,221.7075,232.0091667,246.7985,165.8636667,270.977,216.9211667,312.1488333,233.4628333,160.0773333,290.2855,64.83033333
2000.5.2 2:30,1,,4.238650706,-15.4803,125.6988333,99.03481667,2099.951667,1.230736667,1.656266667,62.69456667,55.9854,1799.216667,117.824,2.950281667,5.500523333,59.74288333,318.8878333,221.6493333,232.0506667,246.8395,165.8886667,271.1393333,216.9126667,312.616,233.4416667,160.0733333,290.1235,64.4741
2000.5.2 2:40,1,,4.239288928,-15.4842,125.9123333,98.96968333,2099.615,1.263878333,1.62599,63.45333333,56.00983333,1799.601667,118.1708333,2.900793333,5.499781667,59.80358333,318.7866667,221.6196667,232.133,246.9131667,165.997,271.0661667,216.8563333,312.7411667,233.455,160.1583333,289.925,64.6474
2000.5.2 2:50,1,,4.24203714,-15.47383333,126.087,98.8376,2101.333333,1.204811667,1.611935,63.08001667,56.04003333,1800.136667,118.5208333,3.261803333,5.499855,59.7929,318.8985,221.6238333,232.1083333,246.9621667,166.0891667,271.1066667,216.817,313.1766667,233.6485,159.5638333,290.241,64.68871667
2000.5.2 3:00,1,,4.235473068,-15.43156667,126.331,98.7615,2100.396667,1.167376667,1.552623333,63.08011667,56.0286,1799.596667,116.867,3.400348333,5.501226667,59.76956667,319.0555,221.6116667,232.1988333,246.856,166.1395,270.9443333,216.822,313.3138333,233.5461667,159.4158333,290.2838333,64.73383333
