date,고철/철강,모래/시멘트,광물성연료,비료,양곡/곡류,광석
2015-06-01,72420.40699999999,126182.91,172110.31,52844.03,121157.295,298130.407
2015-07-01,66443.58000000003,155323.31000000006,154195.0,43060.07,82938.77200000001,312465.26
2015-08-01,64718.813,130542.748,142857.919,41382.33,33376.572000000015,308873.13700000005
2015-09-01,77457.23499999991,78553.54,106713.509,23372.9,33073.472000000016,325513.72900000005
2015-10-01,101739.546,117369.75,178749.0,44712.06000000001,32715.56400000001,310328.653
2015-11-01,48453.11000000001,62652.85,144322.94,26557.083,119085.144,332349.71
2015-12-01,63449.162000000026,222105.39,141701.0,59769.468,28688.008000000016,275825.185
2016-01-01,58046.03999999999,102387.6,118360.0,73475.84,34224.62800000001,329360.227
2016-02-01,45275.01700000001,127968.38,169601.0,42427.377000000015,80723.85,334218.602
2016-03-01,45494.151,161804.841,180769.9,50948.304,28717.28000000002,313678.215
2016-04-01,37983.766000000025,38505.26100000001,118201.9,71101.33100000003,116538.866,259887.82600000012
2016-05-01,51903.71800000001,108476.93,99150.43,82688.77799999999,24091.75700000001,258074.61900000004
2016-06-01,65007.65,86982.40999999999,150812.84,27840.162,31532.51900000001,353815.25
2016-07-01,52204.04799999997,156550.65400000007,70301.41,14750.805000000002,66974.38699999992,321871.149
2016-08-01,60563.513,115899.484,96488.20800000001,76503.685,65453.24500000003,270025.1160000001
2016-09-01,34236.55300000002,154847.574,160790.0,19045.9,34502.316000000006,384305.5339999999
2016-10-01,56615.735,103326.85,123114.0,86296.32999999999,86203.91699999997,267473.13700000005
2016-11-01,64593.563,122128.37999999998,9659.7,37687.58,27330.051,286030.555
2016-12-01,66894.43900000001,134486.02300000002,241952.5,130650.26600000002,205131.73599999998,178105.03100000002
2017-01-01,75554.578,83972.6,225583.0,86080.82,85367.05299999999,312211.88800000004
2017-02-01,53707.27400000001,136416.50999999992,152764.0,137202.74999999994,7186.37,272152.742
2017-03-01,43431.96999999998,104723.19399999996,145035.43,138173.605,61022.79700000001,192094.473
2017-04-01,61378.05999999999,76751.864,73755.6,96069.11,88789.57299999997,254105.46600000004
2017-05-01,63457.59500000002,152033.25999999998,56497.0,92555.23,72762.704,276754.91
2017-06-01,91736.289,132300.41199999998,237613.98,126255.20500000002,126061.28500000002,327899.592
2017-07-01,79203.38400000003,55654.57,88123.0,77292.523,81938.29999999997,302920.9
2017-08-01,58848.416,111624.552,133150.0,63325.42000000001,68755.674,374361.87299999996
2017-09-01,43474.53899999998,92726.33000000002,214902.1,88963.71,59017.94200000001,263719.115
2017-10-01,50506.13400000005,115819.57800000001,141399.0,43620.33900000001,99612.59099999996,318631.36
2017-11-01,65772.10399999998,157468.858,139312.0,137413.22400000002,106007.98999999998,277833.88
2017-12-01,68367.46500000008,87226.01599999999,152582.0,118757.31000000006,63492.09800000001,260788.697
